ID,Event Name,Category,Sub-Category,Hook Line,Location,Address,Longitude and Latitude,Town,Distance (mi),Schedule,Time,Recurrence,Season,Est. Cost,Effort,Target Audience,User Tips,Verification Method,Verification Difficulty,XP Value,Badge Eligibility,Crew Formation,Is Anchor,Is Hidden Gem,Priority (1-5),Source,Audit_Confidence
200,Mt. Van Hoevenberg Bobsled,Anchor,Adrenaline,Ride with a pro driver. Feel the G-force of an Olympic track.,Olympic Sports Complex,"220 Bobsled Run Ln, Lake Placid, NY 12946",,Lake Placid,80,Winter/Summer (on wheels),By reservation,Seasonal,Winter,$$$,High,"Thrill seekers, bucket listers","It's expensive but unforgettable. You will get shaken. Winter is on ice, summer is on wheels—both are terrifyingly fast.",Ride photo,Easy,400,Challenger,Low,TRUE,FALSE,5,New_Additions,HIGH
201,Wanakena Suspension Bridge,Outdoor,Historic Landmark,Walk across the footbridge into a town that time forgot.,"Wanakena, NY","South Shore Rd, Wanakena, NY 13695",,Wanakena,45,Daily,Daylight,One-time,Year-round,Free,Low,"History buffs, photographers, walkers",Park near the general store. Walk the bridge. It connects the two halves of this tiny hamlet. Iconic photo spot.,Bridge photo,Easy,150,Explorer,Medium,FALSE,FALSE,4,New_Additions,HIGH
202,Pickens General Store,Food & Drink,Local Institution,Amish goods,"Pickens General Store, Childwold","1529 NY-3, Childwold, NY 12922",,"Heuvelton, NY",30,Heuvelton,25,Mon-Sat,9:00am - 5:00pm,Ongoing,Year-round,$,Low,"Foodies, rustic shoppers, locals",The upstairs is a gorgeous opera house/concert venue. Downstairs has the best bulk foods and Amish baskets. The cheese curd selection is elite.,100,Easy,100,FALSE,FALSE,3,New_Additions,MEDIUM
203,Pine Cone Grill Dinner,Food & Drink,Destination Dining,A remote outpost with surprisingly good food and 1950s cabin vibes.,"Wanakena, NY","66 Ranger School Rd, Wanakena, NY 13695",,Wanakena,45,Wed-Sun (check hours),Dinner,Ongoing,Year-round,$$,Medium,"Foodies, escape artists",It feels like the middle of nowhere because it is. Great after a hike at Cranberry Lake. The historic photos on the wall tell the town's story.,Meal photo,Easy,150,Explorer,Medium,FALSE,FALSE,4,New_Additions,HIGH
204,Eben’s Hearth Trivia,Ritual,Trivia Night,The specific Tuesday/Wednesday ritual for Potsdam locals.,Eben's Hearth,"115 Maple St, Potsdam, NY 13676",,Potsdam,0,Wednesday nights,7:00pm,Weekly,Year-round,$,Low,"Trivia buffs, friend groups",Get a table by 6:30. It's competitive. The prizes are usually gift certificates. The smash burgers are the fuel.,Team scorecard,Easy,100,Ritualist,High,FALSE,FALSE,4,New_Additions,HIGH
205,Massawepie Mire Trail,Outdoor,Nature Walk,Walk the floating boardwalk through the largest peatland bog in New York.,Massawepie Scout Camps,"Massawepie Rd, Tupper Lake, NY 12986",,Tupper Lake,35,Summer/Fall (closed June for nesting),2-3 hours,Seasonal,Summer,Free,Medium,"Birders, nature lovers, solitude seekers","Closed mid-June to late August for bird nesting (check dates). The vastness feels like Canada or Alaska. Totally flat, eerily quiet.",Bog photo,Easy,250,Explorer,Low,TRUE,FALSE,5,New_Additions,HIGH
206,Cathedral Rock Climb,Outdoor,Short Hike,"Short, steep climb to a view of the Wanakena inlet. High reward, low time.","Wanakena, NY","Ranger School Rd, Wanakena, NY 13695",,Wanakena,45,Spring-Fall,1 hour,Seasonal,Fall,Free,Medium,"Hikers, view seekers",Park at the Ranger School (worth a visit itself). The trail is short but has a steep scramble at the end. The view of the winding river is classic ADK.,Summit selfie,Easy,200,Explorer,Medium,TRUE,FALSE,4,New_Additions,HIGH
207,Rushton Canoe Races,Event,River Race,Celebrating the Father of Modern Canoeing where he built his boats.,"Taylor Park, Canton","Miner St, Canton, NY 13617",,Canton,10,May Weekend,Morning,Annual,Spring,$,High,"Paddlers, history buffs, racers",J. Henry Rushton is a Canton legend. The races are friendly but competitive. You don't have to race to enjoy the vibe.,Event photo,Easy,150,Participant,Medium,FALSE,FALSE,4,New_Additions,HIGH
208,Mt. Jo,Outdoor,Summit Hike,The best bang for your buck view of the High Peaks.,Adirondack Loj,"Adirondack Loj Rd, Lake Placid, NY 12946",,Lake Placid,70,Year-round,2 hours,One-time,Year-round,$,Medium,"Hikers, families, view seekers","Short hike, massive view of Mt. Marcy and Algonquin. Parking fills fast—arrive by 8am. There is a fee to park at the Loj.",Heart Lake photo,Easy,250,Explorer,Medium,TRUE,FALSE,5,New_Additions,HIGH
209,Noonmark Mountain,Outdoor,Summit Hike,The best 360-degree view that isn't a 46er.,Keene Valley,"Ausable Club Rd, Keene Valley, NY 12943",,Keene Valley,80,Year-round,4-5 hours,One-time,Year-round,Free,High,"Serious hikers, view chasers","Steep. The view of the Great Range is unparalleled. You park at the designated lot on Rt 73, not the Ausable Club.",Summit 360 photo,Medium,350,Challenger,Medium,TRUE,FALSE,5,New_Additions,HIGH
210,Mirror Lake Dog Sledding,Anchor,Winter Experience,Mushing across a frozen lake in the middle of town.,Mirror Lake,"Main St, Lake Placid, NY 12946",,Lake Placid,75,Winter weekends,10am - 4pm,Seasonal,Winter,$$,Low,"Families, dog lovers, tourists","You don't drive, you ride. The teams line up right on Main Street. No reservation usually needed, just walk down to the ice.",Sled photo,Easy,200,Explorer,Low,TRUE,FALSE,4,New_Additions,HIGH
211,Hammond Scottish Festival,Event,Cultural Festival,Kilts,Town of Hammond,"Hammond, NY 13646",,Hammond Fairgrounds,30,Hammond,40,July Weekend,Full day,Annual,Summer,$,Low,"Culture lovers, families, history buffs",The Highland Games are the highlight. Watch the caber toss. It's surprisingly authentic and very loud.,100,Easy,150,FALSE,FALSE,3,New_Additions,MEDIUM
212,Remington Museum Ghost Tour,Event,Museum Event,Spooky history in the mansion of the famous cowboy artist.,Frederic Remington Art Museum,"303 Washington St, Ogdensburg, NY 13669",,Ogdensburg,30,October,Evening,Annual,Fall,$,Medium,"History buffs, thrill seekers",The museum is in the Parish Mansion. The stories are local lore. Tickets sell out fast in October.,Ticket stub,Easy,150,Culture Vulture,Medium,FALSE,FALSE,4,New_Additions,HIGH
213,St. Lawrence County Fair,Event,County Fair,"Demolition derbies, fried dough, and 4H prizes. The real deal.",Gouverneur Fairgrounds,"85 E Barney St, Gouverneur, NY 13642",,Gouverneur,35,August,Week-long,Annual,Summer,$,Low,"Families, fair lovers, Americana seekers",The Gouverneur Fair is the 'big' one. The demo derby is the main event. Go on a weekday evening for the best local vibe.,Fair photo,Easy,150,Connector,Medium,FALSE,FALSE,4,New_Additions,HIGH
214,Stone Valley West Side,Outdoor,River Trail,"The other side of the river. Rugged, less crowded, better rapids views.","Colton, NY","River Rd, Colton, NY 13625",,Colton,12,Spring-Fall,2-3 hours,Seasonal,Fall,Free,High,"Hikers, solitude seekers",Most people do the East side. The West side is wilder. The Narrows section is intense. Great for trail running.,Rapids photo,Easy,250,Explorer,Medium,TRUE,FALSE,4,New_Additions,HIGH
215,High Falls Gorge,Outdoor,Waterfall Walk,"Accessible, dramatic waterfalls on the AuSable River.",Wilmington Notch,"4761 NY-86, Wilmington, NY 12997",,Wilmington,80,Year-round,1-2 hours,One-time,Fall,$$,Low,"Families, accessibility seekers, photographers","It's a private park (entry fee), but the bridges and walkways bolted to the cliffs offer views you can't get otherwise. Stunning in winter.",Gorge photo,Easy,200,Explorer,Low,TRUE,FALSE,4,New_Additions,HIGH
216,Monday Night Jazz at The Club,Ritual,Music Night,Unexpectedly high-quality jazz in a Canton dive/restaurant.,The Club,"25 Court St, Canton, NY 13617",,Canton,10,Mondays,7:00pm,Weekly,Year-round,$,Low,"Music lovers, chill vibe seekers","The Club is a Canton staple. The jazz night draws professors and locals. Good burgers, cheap beer, great tunes.",Band photo,Easy,100,Culture Vulture,Medium,FALSE,FALSE,4,New_Additions,HIGH
217,Tupper Lake Triad,Anchor,Hiking Challenge,"Summit Mt. Arab, Coney Mt, and Goodman Mt. Get a patch.","Mt. Arab, Coney Mt, Goodman Mt","Tupper Lake Region trailheads, Tupper Lake, NY 12986",,Tupper Lake,45,Anytime,1-2 days,One-time,Year-round,Free,High,"Hikers, goal setters, families",Easier than the Saranac 6er. You can do all three in a day if you're fit. Register your completion at the hardware store for the patch.,Patch photo,Medium,400,Challenger,Medium,TRUE,FALSE,5,New_Additions,HIGH
218,Coney Mountain 360,Outdoor,Summit Hike,The best effort-to-view ratio in the entire Adirondack Park.,Tupper Lake,"NY-30, Tupper Lake, NY 12986",,Tupper Lake,40,Year-round,1.5 hours,One-time,Year-round,Free,Medium,"Families, photographers, sunset chasers","Short hike (1 mile), completely open 360-degree summit. Perfect for sunset picnics. You see the Sewards and the High Peaks.",Panorama photo,Easy,200,Explorer,Medium,TRUE,FALSE,5,New_Additions,HIGH
219,Seaway Festival Parade,Event,Parade,The biggest parade in the North Country. Fire trucks for miles.,"Ogdensburg, NY","Ford St, Ogdensburg, NY 13669",,Ogdensburg,30,Late July,Saturday morning,Annual,Summer,Free,Low,"Families, community lovers",Put your chairs out the night before (it's a tradition). The vibe is massive. The whole county shows up.,Parade photo,Easy,150,Connector,Medium,FALSE,FALSE,4,New_Additions,HIGH
220,Amish Shed & Basket Tour,Shopping,Rural Exploration,Drive the back roads of Heuvelton/DePeyster for handmade goods.,Heuvelton/DePeyster,"SH 184 area, Heuvelton, NY 13654",,Heuvelton,20,No Sunday sales,Daytime,Ongoing,Year-round,$,Low,"Crafters, produce buyers, explorers","Look for the hand-painted signs. 'Baskets', 'Eggs', 'Baked Goods'. No photos of people. Cash only. Respect their privacy.",Product photo,Easy,150,Explorer,Medium,FALSE,FALSE,4,New_Additions,HIGH
221,Snowshoe to the Great Camp,Anchor,Historic Hike,Hike into the Gilded Age at Camp Santanoni.,"Newcomb, NY","Newcomb Lake Rd, Newcomb, NY 12852",,Newcomb,70,Winter weekends,Full day (5-6 hours),Seasonal,Winter,Free,High,"History buffs, endurance snowshoers",It's a 10-mile round trip on a carriage road. The Great Camp is preserved in a state of arrested decay. Incredible atmosphere.,Camp photo,High,400,Pathfinder,Medium,TRUE,FALSE,5,New_Additions,HIGH
222,The Cottage Deck Dining,Ritual,Post-Hike Food,The spot to eat after hiking a High Peak. Right on the water.,Mirror Lake,"77 Main St, Lake Placid, NY 12946",,Lake Placid,75,Daily,Lunch/Dinner,Ongoing,Year-round,$$,Low,"Hikers, foodies, view seekers","If it's warm, sit on the deck. If it's cold, sit near the fire. The Nachos are legendary for a reason.",Food photo,Easy,100,Participant,Medium,FALSE,FALSE,4,New_Additions,HIGH
223,Hosmer’s Marina Lunch,Food & Drink,River Dining,Watch the freighters pass by while eating wings.,"Ogdensburg, NY","54 E River St, Ogdensburg, NY 13669",,Ogdensburg,30,Daily,Lunch/Dinner,Ongoing,Year-round,$$,Low,"River watchers, casual diners",Right on the Oswegatchie/St. Lawrence confluence. Live music often. The river traffic is right there.,Ship photo,Easy,100,Participant,Medium,FALSE,FALSE,4,New_Additions,HIGH
224,Canton Dairy Princess Parade,Event,Small Town Festival,A tractor parade celebrating milk. Peak rural NY.,Canton Village Park,"Main St, Canton, NY 13617",,Canton,10,June (Dairy Month),Weekend,Annual,Summer,Free,Low,"Families, agriculture supporters","Free ice cream and milk are usually handed out. It's wholesome, quirky, and very proud of the local dairy industry.",Parade photo,Easy,100,Connector,Medium,FALSE,FALSE,4,New_Additions,HIGH
225,Jay Covered Bridge,Outdoor,Historic Site,One of the few remaining covered bridges in the ADK.,"Jay, NY","Glen Rd, Jay, NY 12941",,Jay,70,Daily,Short stop,One-time,Year-round,Free,Low,"Photographers, history lovers, road trippers",The swimming hole underneath is popular in summer. The bridge itself is a park now (pedestrian only). Great photo op.,Bridge photo,Easy,100,Explorer,Low,FALSE,FALSE,4,New_Additions,HIGH
226,Adirondack Sky Center Stargazing,Anchor,Astronomy,Professional telescopes in one of the darkest spots in the East.,Tupper Lake,"178 Big Wolf Rd, Tupper Lake, NY 12986",,Tupper Lake,45,Friday nights (Summer),Evening,Seasonal,Summer,Free,Low,"Space nerds, families, couples",They open the roof and the volunteers aim the scopes. Seeing Saturn's rings with your own eyes is life-changing.,Scope photo,Easy,200,Culture Vulture,Low,TRUE,FALSE,5,New_Additions,HIGH
227,New York State Zoo at Thompson Park,Anchor,Regional Zoo,The only zoo dedicated to New York native species.,"Watertown, NY","1 Thompson Park, Watertown, NY 13601",,Watertown,70,Daily,2-3 hours,One-time,Year-round,$,Low,"Families, animal lovers","See wolverines, black bears, and eagles. Thompson Park itself was designed by Olmsted (who did Central Park).",Animal photo,Easy,150,Explorer,Medium,TRUE,FALSE,4,New_Additions,HIGH
228,Five Falls of the Grasse (Kayak),Anchor,Whitewater Paddle,For the brave. A classic whitewater run when the water is high.,Grasse River,"Canton to Madrid, NY",,Canton,10,Spring Runoff,Half-day,Seasonal,Fall,Free,High,"Whitewater kayakers, adrenaline junkies","Expert only for the falls, but the flatwater sections are doable for intermediates. Known locally as a rite of passage for paddlers.",GoPro footage,High,400,Challenger,High,TRUE,FALSE,5,New_Additions,HIGH
229,Azure Mountain Scholarship Hike,Event,Fundraiser Hike,Hike the mountain to support the restoration and a scholarship.,Azure Mountain,"Blue Mountain Rd, St. Regis Falls, NY 12980",,St Regis Falls,35,Memorial Day Weekend,Morning,Annual,Summer,Donation,High,"Community hikers, supporters",A dedicated day where volunteers educate hikers. Buying the patch supports the fire tower restoration.,Patch photo,Easy,200,Connector,Medium,TRUE,FALSE,4,New_Additions,HIGH
230,Mac’s Drive-In,Ritual,Summer Dining,A classic 1950s drive-in (car hop service) that opens every spring.,McCauley's / Mac's,"136 E Main St, Gouverneur, NY 13642",,Gouverneur,35,Spring-Summer,Lunch/Dinner,Seasonal,Summer,$,Low,"Nostalgia lovers, burger fans",Turn your lights on for service. The root beer is homemade. It signals the start of summer in Gouverneur.,Sign photo,Easy,100,Ritualist,Medium,FALSE,FALSE,4,New_Additions,HIGH
231,Upper and Lower Lakes Paddle,Outdoor,Wildlife Paddle,A birding paradise. Paddle through the wetlands between the lakes.,Canton/Rensselaer Falls,"County Rt 14, Rensselaer Falls, NY 13680",,Rensselaer Falls,15,Spring/Summer,2-3 hours,Seasonal,Summer,Free,Medium,"Paddlers, bird watchers","The channel connects the two lakes. It's thick with osprey, herons, and ducks. Very calm water, good for beginners.",Bird photo,Easy,200,Explorer,Medium,TRUE,FALSE,4,New_Additions,HIGH
232,St. Regis Mountain Fire Tower,Outdoor,Summit Hike,A longer hike to a restored fire tower with iconic views of the lakes.,Paul Smiths,"Keese Mill Rd, Paul Smiths, NY 12970",,Paul Smiths,50,Spring-Fall,4-5 hours,One-time,Fall,Free,High,"Hikers, fire tower chasers",The trail is gradual but long (6.6mi RT). The fire tower offers a view of the Saint Regis Canoe Area that is mostly water.,Tower photo,Medium,300,Challenger,Medium,TRUE,FALSE,5,New_Additions,HIGH
233,Hex and Hop Brewing,Social,Destination Brewery,Honey-based beers in a buzzing roadside spot.,"Bloomingdale, NY","1719 NY-3, Bloomingdale, NY 12913",,Bloomingdale,60,Wed-Sun,Afternoon/Eve,Ongoing,Year-round,$$,Low,"Beer lovers, socializers",They keep their own bees. The honey flight is unique. Great stop on the way back from Whiteface or Saranac Lake.,Drink photo,Easy,100,Participant,Medium,FALSE,FALSE,4,New_Additions,HIGH
234,Coffin Rock,Outdoor,Hidden History,A rock formation with a dark legend near the water.,Sevey Corners / Colton,"Off Rt 56 near Sevey, NY",,Colton,30,Snow-free months,Short walk,One-time,Year-round,Free,Medium,"Local lore hunters, curious minds",Legend says a coffin fell off a wagon here. It's a small local landmark that feels like a secret.,Rock photo,Easy,100,Explorer,Low,FALSE,FALSE,3,New_Additions,HIGH
235,Whitewater Rafting on the Black River,Anchor,Adventure Trip,World-class whitewater just outside the 100-mile radius (Watertown).,"Watertown, NY","Various outfitters, Watertown, NY 13601",,Watertown,75,Summer/Fall (dam release),Full day,Seasonal,Summer,$$$,High,"Adrenaline junkies, groups","The Black River Canyon is legit whitewater (Class III-IV). Summer dam releases guarantee water. Big waves, warm water.",Raft photo,Easy,400,Challenger,High,TRUE,FALSE,5,New_Additions,FLAG
236,Lamp-Lighting at the Paul Smiths VIC,Event,Winter Solstice,Walk the trails at night lit by hundreds of kerosene lanterns.,Paul Smiths VIC,"8023 NY-30, Paul Smiths, NY 12970",,Paul Smiths,40,Winter holidays,Evening,Annual,Winter,$,Low,"Families, romantics, quiet seekers",Magical atmosphere. Silence is encouraged. Dress very warm—it's cold in the dark.,Lantern photo,Easy,200,Culture Vulture,Medium,TRUE,FALSE,5,New_Additions,HIGH
237,Ike’s Grove,Social,Student/Local Spot,A traditional party spot/swimming hole deeply ingrained in local memory.,Potsdam Area,Back roads near Potsdam (Local knowledge),,Potsdam,5,Summer,Afternoon,Seasonal,Summer,Free,Low,"Students, locals","(Note: Check current access status, often private/tolerated). It's the place everyone's dad talks about going to in the 80s.",Location check-in,Hard,100,Ritualist,High,FALSE,FALSE,3,New_Additions,MEDIUM
238,St. Lawrence Brewing Company (The Distillery),Social,Brewery,A massive converted barn serving local brews in Canton.,"Canton, NY","1975 NY-68, Canton, NY 13617",,Canton,10,Thu-Sat,Evening,Ongoing,Year-round,$$,Low,"Beer fans, groups",The space is huge. They often have food trucks. The 'Skinny Dip' IPA is the local flagship beer.,Beer photo,Easy,100,Connector,Medium,FALSE,FALSE,4,New_Additions,HIGH
239,Harper's Falls,Outdoor,Waterfall Hike,A hidden waterfall near Donnerville. The other falls.,Donnerville State Forest,"Donnerville Rd, Canton, NY 13617",,Canton,15,Spring-Fall,1-2 hours,Seasonal,Fall,Free,Medium,"Hikers, explorers",Less crowded than Lampson. The trail follows the river. Good swimming hole at the bottom (at your own risk).,Falls photo,Easy,200,Explorer,Medium,TRUE,FALSE,4,New_Additions,HIGH
240,Canton Winterfest,Event,Town Festival,Cardboard sled races and ice sculptures in the park.,Canton Village Park,"Main St, Canton, NY 13617",,Canton,10,February,Weekend,Annual,Winter,Free,Low,"Families, winter celebrators",Small town winter joy. The cardboard sled race is hilarious. Hot cocoa is everywhere.,Sled photo,Easy,100,Connector,Medium,FALSE,FALSE,4,New_Additions,HIGH
241,Grain Glitch,Food & Drink,Sourdough Bakery,"A tiny, high-quality sourdough bakery in a garage/small shop.","Potsdam, NY","Check Instagram for location/drops, Potsdam, NY 13676",,Potsdam,0,Weekly drops,Morning,Ongoing,Year-round,$$,Low,"Bread snobs, foodies","They sell out instantly. Follow their social media. It's the best bread in the county, hands down.",Bread photo,Easy,100,Participant,Low,FALSE,FALSE,4,New_Additions,HIGH
242,Indian Creek Nature Center Boardwalk,Outdoor,Accessible Nature,Walk through the cattails on a floating boardwalk.,Rensselaer Falls,"County Rt 14, Rensselaer Falls, NY 13680",,Rensselaer Falls,15,Spring-Fall,1 hour,One-time,Fall,Free,Low,"Families, birders, mobility accessible",The boardwalk gets you right into the marsh without getting wet. Incredible for spotting frogs and turtles.,Boardwalk photo,Easy,150,Explorer,Low,FALSE,FALSE,4,New_Additions,HIGH
243,Black River Whitewater Rafting,Anchor,Adventure Sport,14 sets of Class III-IV rapids through an 8-mile gorge. Best summer whitewater in NY.,Black River Outfitters,"531 West Main St, Watertown, NY 13601",,Watertown,75,May - October,9:00am - 1:30pm,Seasonal,Summer,$$,High,"Adventure seekers, thrill seekers, friend groups","Book through Black River Outfitters or ARO. Complimentary beer at the end. Wear clothes you don't mind getting soaked. Spring runs are wilder, summer is more chill.",Photo on rapids,Easy,300,Challenger,High,TRUE,FALSE,4,Watertown_Research,HIGH
244,Zoo New York at Thompson Park,Anchor,Zoo,"The only zoo in the world dedicated to New York's native wildlife. Wolverines, bears, wolves.",Thompson Park,"1 Thompson Park, Watertown, NY 13601",,Watertown,75,Year-round,10:00am - 5:00pm,Ongoing,Year-round,$,Low,"Families, nature lovers, animal enthusiasts",32 acres of native NY animals. Don't miss the wolverines—they're rare. Butterfly house is seasonal. The fire tower is climbable. Military discount available.,Photo with animal,Easy,150,Explorer,Medium,TRUE,FALSE,4,Watertown_Research,HIGH
245,Thompson Park Olmsted Walk,Outdoor,Park,Designed by the same genius who created Central Park. 355 acres of rolling hills.,Thompson Park,"Thompson Blvd, Watertown, NY 13601",,Watertown,75,Year-round,7:00am - 9:00pm,Ongoing,Year-round,Free,Low,"Nature lovers, photographers, families","Designed by Frederick Law Olmsted. Great views of the city. Sledding in winter, golf in summer. The Thompson Park Vortex is a local legend—ask around.",Photo at overlook,Easy,100,Explorer,Medium,FALSE,TRUE,4,Watertown_Research,HIGH
246,Black River Drive-In Theatre,Nightlife,Drive-In,A 1950s drive-in resurrected from the dead. Double features under the stars.,Black River Drive-In,"28035 NYS Route 3, Black River, NY 13612",,Watertown,75,April - October,Dusk - Late,Seasonal,Summer,$,Low,"Date night seekers, families, nostalgia lovers",Tune to 87.9 FM for sound. Bring blankets for the truck bed. Kids 6 and under free. The concession food is solid. Double features are the move.,Photo at screen,Easy,125,Night Owl,High,TRUE,TRUE,4,Watertown_Research,HIGH
247,Paddock Arcade,Shopping,Historic Mall,The oldest continuously operating covered mall in America. Built 1850.,Paddock Arcade,"1 Public Square, Watertown, NY 13601",,Watertown,75,Year-round,10:00am - 5:00pm,Ongoing,Year-round,Free,Low,"History buffs, antique lovers, architecture fans",Art deco details everywhere. Vito's coffee is a local favorite inside. The antique shop has hidden treasures. Recently restored—it's gorgeous.,Photo in arcade,Easy,75,Explorer,Low,FALSE,TRUE,4,Watertown_Research,HIGH
248,Dry Hill Ski Area,Winter Activities,Skiing,"Night skiing, live music Fridays, and surprisingly good runs for a local hill.",Dry Hill Ski Area,"23816 NYS Route 12, Watertown, NY 13601",,Watertown,75,December - March,Varies,Seasonal,Winter,$$,Medium,"Skiers, snowboarders, families",Friday night skiing has live music 6-9pm. Affordable season passes. Good for beginners and intermediates. Tubing hill too.,Photo on slopes,Easy,150,Challenger,Medium,FALSE,FALSE,4,Watertown_Research,HIGH
249,Roswell P. Flower Memorial Library,Arts & Culture,Historic Building,A 1904 library so stunning people do wedding photos here. The rotunda is breathtaking.,Flower Memorial Library,"229 Washington St, Watertown, NY 13601",,Watertown,75,Year-round,10:00am - 5:00pm,Ongoing,Year-round,Free,Low,"Architecture fans, history buffs, readers",Named after NY Governor Roswell Flower. The rotunda ceiling is the showstopper. Call ahead for a tour. Free WiFi if you need to work.,Photo of rotunda,Easy,75,Explorer,Low,FALSE,TRUE,4,Watertown_Research,HIGH
250,Boots Brewing Co.,Nightlife,Craft Brewery,Veteran-owned taproom in a historic building. Each beer tells a story of adventure.,Boots Brewing Co.,"89 Public Square, Watertown, NY 13601",,Watertown,75,Year-round,4:00pm - 10:00pm,Ongoing,Year-round,$,Low,"Craft beer lovers, veterans, social groups",Founded by a Marine Corps vet. Bring your own food or order from local menus. Two nitro taps. The Lincoln Building location is beautiful.,Photo with pint,Easy,75,Ritualist,High,FALSE,TRUE,4,Watertown_Research,HIGH
251,Watertown Farm & Craft Market,Events,Farmers Market,"Every Wednesday, downtown transforms into a vibrant street festival.",Washington Street,"Washington St, Watertown, NY 13601",,Watertown,75,May - October (Wednesdays),10:00am - 4:00pm,Weekly,Summer,Free,Low,"Foodies, local supporters, families","Fresh produce, wine, baked goods, crafts. North Country vendors. Cash is still king at some stands. The energy is worth the drive.",Photo at market,Easy,100,Connector,Medium,FALSE,FALSE,4,Watertown_Research,HIGH
252,Crystal Restaurant,Food & Drink,Diner,"Open since 1925. The oldest eatery in Watertown, still serving classics.",Crystal Restaurant,"65 Public Square, Watertown, NY 13601",,Watertown,75,Year-round,6:00am - 8:00pm,Ongoing,Year-round,$,Low,"Diner lovers, history appreciators, road trippers",Nearly 100 years old. Classic diner fare. The locals still come here. Don't expect fancy—expect honest.,Photo of meal,Easy,75,Ritualist,Low,FALSE,TRUE,4,Watertown_Research,HIGH
